vehicle,seq,stop,window_open,window_close,travel_mins_from_previous
VAN-01,0,DEPOT,0,600,0
VAN-01,1,Bilborough,0,57,22.3
VAN-01,2,Beeston,0,68,10.9
VAN-01,3,Clifton,0,74,5.8
VAN-01,4,DEPOT,0,600,21.0
VAN-02,0,DEPOT,0,600,0
VAN-02,1,W-Bridgford,0,42,7.1
VAN-02,2,Arnold,0,18,17.1
VAN-02,3,Hucknall,0,78,19.4
VAN-02,4,DEPOT,0,600,32.8
VAN-03,0,DEPOT,0,600,0
VAN-03,1,Carlton,0,53,18.8
VAN-03,2,Gedling,0,69,15.4
VAN-03,3,Stapleford,0,93,24.4
VAN-03,4,DEPOT,0,600,27.0
VAN-04,0,DEPOT,0,600,0
VAN-04,1,Long-Eaton,0,46,11.2
VAN-04,2,Ilkeston,0,63,17.5
VAN-04,3,Kimberley,0,84,20.7
VAN-04,4,DEPOT,0,600,6.3
VAN-05,0,DEPOT,0,600,0
VAN-05,1,Bulwell,0,64,29.3
VAN-05,2,Sherwood,0,74,51.1
VAN-05,3,Mapperley,0,196,42.5
VAN-05,4,DEPOT,0,600,22.2
VAN-06,0,DEPOT,0,600,0
VAN-06,1,Basford,0,63,28.2
VAN-06,2,Wollaton,0,83,20.0
VAN-06,3,Lenton,0,92,9.3
VAN-06,4,DEPOT,0,600,17.2
VAN-07,0,DEPOT,0,600,0
VAN-07,1,Sneinton,0,57,22.1
VAN-07,2,Colwick,0,26,10.4
VAN-07,3,Netherfield,0,124,45.2
VAN-07,4,DEPOT,0,600,27.2
VAN-08,0,DEPOT,0,600,0
VAN-08,1,Ruddington,0,56,21.4
VAN-08,2,Keyworth,0,88,32.3
VAN-08,3,Cotgrave,0,154,43.0
VAN-08,4,DEPOT,0,600,30.2
